Timestamp,EventID,EventName,Section,Row,Seats,Qty,TotalPrice,ListPrice,FaceValue,Currency,TotalFees,Type,SellerNotes,OfferID,ListingID
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","305","12","23-24","2","142.19","118","118","CAD","24.19","resale","","GN6DCMBSHE4TENBUGAZHYMJXGM4TEZRVGMYDK","1029924402"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","311","5","21-22","2","150.63","125","125","CAD","25.63","resale","","GN6DCMBSHE4TSNBVHE3XYMJXGVSDSYJXMIYDK","1029994597"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","305","2","22-23","2","334.99","278","278","CAD","56.99","resale","","GN6DCMBTG42DOOJTGMZXYMJWMRSTENJQGM2DK","1037479333"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","310","8","1-2","2","198.83","165","165","CAD","33.83","resale","","GN6DCMBTG43TONBXGU2HYMJXGQ3TANRQGVSDK","1037774754"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","317","3","1-4","4","150.63","125","125","CAD","25.63","resale","","GN6DCMBTGA2DSMJZHE2HYMJXGRRDCMJTGZRTK","1030491994"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","120","18","1-2","2","978.46","812","812","CAD","166.46","resale","","GN6DCMBTGA2TSNJQGYZHYMJWMRSWCZTBMEZDK","1030595062"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","314","1","11-12","2","180.75","150","150","CAD","30.75","resale","","GN6DCMBTGA3TANJTGIZXYMJXGYYDCMRSGE4DK","1030705323"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","302","2","13-16","4","230.16","191","191","CAD","39.16","resale","","GN6DCMBTGA4DKMZTHAZHYMJWMRSTEYTDMUZTK","1030853382"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","318","15","19-30","12","131.35","109","109","CAD","22.35","resale","","GN6DCMBTGE2TEMRTGAZHYMJXGY2DKY3GG5QTK","1031522302"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","CRTS","C","59-60","2","1506.25","1250","1250","CAD","256.25","resale","","GN6DCMBTGE4TANJXG44HYMJXGVSWMNRZMFRTK","1031905778"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","112","24","9-11","3","249.44","207","207","CAD","42.44","resale","","GN6DCMBTGE4TIMJSGI2HYMJXGYZGINLBGMZDK","1031941224"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","CRTE","C","13-14","2","1747.25","1450","1450","CAD","297.25","resale","","GN6DCMBTGEYDGMBVGY3HYMJXGRRDCZRYMRSDK","1031030566"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","303","1","15-16","2","256.67","213","213","CAD","43.67","resale","","GN6DCMBTGEZTGMJUGQ3XYMJWMRSTENBWGE3TK","1031331447"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","107","5","9-10","2","783.25","650","650","CAD","133.25","resale","","GN6DCMBTGEZTMMBYHE2HYMJWMRSTENJQGI2DK","1031360894"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","307","6","9-10","2","216.9","180","180","CAD","36.90","resale","","GN6DCMBTGEZTSNZYGU2HYMJWMRSTEM3BMZSTK","1031397854"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","306","11","3-4","2","173.52","144","144","CAD","29.52","resale","","GN6DCMBTGI2DMNZQHE4HYMJWMRSTEMBZGBQTK","1032467098"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","302","3","22-23","2","231.36","192","192","CAD","39.36","resale","","GN6DCMBTGI2DMNZYHA4XYMJWMRSTENJQGJSDK","1032467889"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","318","7","9-12","4","124.12","103","103","CAD","21.12","resale","","GN6DCMBTGI3TAMJSGE3XYMJXGY2GKZBUMZRTK","1032701217"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","311","4","3-8","6","143.4","119","119","CAD","24.40","resale","","GN6DCMBTGIYTSOJWGM3HYMJXGY3TIYZYGU4DK","1032199636"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","302","1","5-6","2","226.54","188","188","CAD","38.54","resale","","GN6DCMBTGMYTEMBXGUYHYMJWMRSTEMBYGA2TK","1033120750"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","322","4","3-4","2","247.03","205","205","CAD","42.03","resale","","GN6DCMBTGQYTKOBUHEYXYMJXGQ2WCYRVGVRDK","1034158491"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","105","27","19-20","2","535.02","444","444","CAD","91.02","resale","","GN6DCMBTGQYTSNZYHAYHYMJWMRSTEYTDMVTDK","1034197880"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","302","3","11-12","2","132.55","110","110","CAD","22.55","resale","","GN6DCMBTGU3TIMRVGU3HYMJXGY4GCMJQMU3DK","1035742556"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","120","22","1-2","2","602.5","500","500","CAD","102.50","resale","","GN6DCMBTGU3TSMRWGY2HYMJWMRSTEMBYGBSDK","1035792664"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","308","9","5-6","2","155.45","129","129","CAD","26.45","resale","","GN6DCMBTGU4TEOJXGY3HYMJXGY4DINLDMJSTK","1035929766"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","114","19","18-19","2","259.08","215","215","CAD","44.08","resale","","GN6DCMBTGUYTANBYHEYXYMJXGQ4TSNZWMQ3DK","1035104891"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","321","10","14-17","4","156.65","130","130","CAD","26.65","resale","","GN6DCMBTGUYTGNZYHAZHYMJXGY4DQNZXGRSDK","1035137882"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","101","10","3-6","4","361.5","300","300","CAD","61.50","resale","","GN6DCMBTGY2TGMJZGM4XYMJXGQ3TCOJVMU2DK","1036531939"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","320","13","18-19","2","150.63","125","125","CAD","25.63","resale","","GN6DCMBTHA4DAMZQGQ4HYMJXGY4GCNLDMM2DK","1038803048"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","104","22","12-13","2","228.95","190","190","CAD","38.95","resale","","GN6DCMBTHE4DENJUGIYHYMJXGYZTSMRQGMYTK","1039825420"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","122","22","9-10","2","251.85","209","209","CAD","42.85","resale","","GN6DCMBUG43DCNBYGQZHYMJXGVQTKNJTMI3DK","1047614842"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","122","23","11-12","2","265.1","220","220","CAD","45.10","resale","","GN6DCMBUG43TGMRSGY4XYMJXGY2WKOJTMU4DK","1047732269"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","118","6","11-12","2","961.59","798","798","CAD","163.59","resale","","GN6DCMBUG44TMMBSGEZHYMJWMRSTGMTFMQYDK","1047960212"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","321","8","16-18","3","190.39","158","158","CAD","32.39","resale","","GN6DCMBUG4ZDCNZVGY4HYMJXGY2GKZJUHFRTK","1047217568"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","120","3","21-22","2","1297.79","1077","1077","CAD","220.79","resale","","GN6DCMBUGA2TINJRGMZHYMJXGI2DKYJUHAZDK","1040545132"
